#️⃣ keycap_
#️⃣ symbol
#️⃣ blue-square
#️⃣ twitter
*️⃣ keycap_
*️⃣ star
*️⃣ keycap
0️⃣ keycap_0
0️⃣ 0
0️⃣ numbers
0️⃣ blue-square
0️⃣ null
1️⃣ keycap_1
1️⃣ blue-square
1️⃣ numbers
1️⃣ 1
2️⃣ keycap_2
2️⃣ numbers
2️⃣ 2
2️⃣ prime
2️⃣ blue-square
3️⃣ keycap_3
3️⃣ 3
3️⃣ numbers
3️⃣ prime
3️⃣ blue-square
4️⃣ keycap_4
4️⃣ 4
4️⃣ numbers
4️⃣ blue-square
5️⃣ keycap_5
5️⃣ 5
5️⃣ numbers
5️⃣ blue-square
5️⃣ prime
6️⃣ keycap_6
6️⃣ 6
6️⃣ numbers
6️⃣ blue-square
7️⃣ keycap_7
7️⃣ 7
7️⃣ numbers
7️⃣ blue-square
7️⃣ prime
8️⃣ keycap_8
8️⃣ 8
8️⃣ blue-square
8️⃣ numbers
9️⃣ keycap_9
9️⃣ blue-square
9️⃣ numbers
9️⃣ 9
©️ copyright
©️ ip
©️ license
©️ circle
©️ law
©️ legal
®️ registered
®️ alphabet
®️ circle
‼️ double_exclamation_mark
‼️ exclamation
‼️ surprise
⁉️ exclamation_question_mark
⁉️ wat
⁉️ punctuation
⁉️ surprise
™️ trade_mark
™️ trademark
™️ brand
™️ law
™️ legal
ℹ️ information
ℹ️ blue-square
ℹ️ alphabet
ℹ️ letter
↔️ left_right_arrow
↔️ shape
↔️ direction
↔️ horizontal
↔️ sideways
↕️ up_down_arrow
↕️ blue-square
↕️ direction
↕️ way
↕️ vertical
↖️ up_left_arrow
↖️ blue-square
↖️ point
↖️ direction
↖️ diagonal
↖️ northwest
↗️ up_right_arrow
↗️ blue-square
↗️ point
↗️ direction
↗️ diagonal
↗️ northeast
↘️ down_right_arrow
↘️ blue-square
↘️ direction
↘️ diagonal
↘️ southeast
↙️ down_left_arrow
↙️ blue-square
↙️ direction
↙️ diagonal
↙️ southwest
↩️ right_arrow_curving_left
↩️ back
↩️ return
↩️ blue-square
↩️ undo
↩️ enter
↪️ left_arrow_curving_right
↪️ blue-square
↪️ return
↪️ rotate
↪️ direction
⌚ watch
⌚ time
⌚ accessories
⌛ hourglass_done
⌛ time
⌛ clock
⌛ oldschool
⌛ limit
⌛ exam
⌛ quiz
⌛ test
⌨️ keyboard
⌨️ technology
⌨️ computer
⌨️ type
⌨️ input
⌨️ text
⏏️ eject_button
⏏️ blue-square
⏩ fast_forward_button
⏩ blue-square
⏩ play
⏩ speed
⏩ continue
⏪ fast_reverse_button
⏪ play
⏪ blue-square
⏫ fast_up_button
⏫ blue-square
⏫ direction
⏫ top
⏬ fast_down_button
⏬ blue-square
⏬ direction
⏬ bottom
⏭️ next_track_button
⏭️ forward
⏭️ next
⏭️ blue-square
⏮️ last_track_button
⏮️ backward
⏯️ play_or_pause_button
⏯️ blue-square
⏯️ play
⏯️ pause
⏰ alarm_clock
⏰ time
⏰ wake
⏱️ stopwatch
⏱️ time
⏱️ deadline
⏲️ timer_clock
⏲️ alarm
⏳ hourglass_not_done
⏳ oldschool
⏳ time
⏳ countdown
⏸️ pause_button
⏸️ pause
⏸️ blue-square
⏹️ stop_button
⏹️ blue-square
⏺️ record_button
⏺️ blue-square
Ⓜ️ circled_m
Ⓜ️ alphabet
Ⓜ️ blue-circle
Ⓜ️ letter
▪️ black_small_square
▪️ shape
▪️ icon
▫️ white_small_square
▫️ shape
▫️ icon
▶️ play_button
▶️ blue-square
▶️ right
▶️ direction
▶️ play
◀️ reverse_button
◀️ blue-square
◀️ left
◀️ direction
◻️ white_medium_square
◻️ shape
◻️ stone
◻️ icon
◼️ black_medium_square
◼️ shape
◼️ button
◼️ icon
◽ white_medium_small_square
◽ shape
◽ stone
◽ icon
◽ button
◾ black_medium_small_square
◾ icon
◾ shape
◾ button
☀️ sun
☀️ weather
☀️ nature
☀️ brightness
☀️ summer
☀️ beach
☀️ spring
☁️ cloud
☁️ weather
☁️ sky
☂️ umbrella
☂️ weather
☂️ spring
☃️ snowman
☃️ winter
☃️ season
☃️ cold
☃️ weather
☃️ christmas
☃️ xmas
☃️ frozen
☄️ comet
☄️ space
☎️ telephone
☎️ technology
☎️ communication
☎️ dial
☎️ telephone
☑️ check_box_with_check
☑️ ok
☑️ agree
☑️ confirm
☑️ black-square
☑️ vote
☑️ election
☑️ yes
☑️ tick
☔ umbrella_with_rain_drops
☔ rainy
☔ weather
☔ spring
☕ hot_beverage
☕ beverage
☕ caffeine
☕ latte
☕ espresso
☘️ shamrock
☘️ vegetable
☘️ plant
☘️ nature
☘️ irish
☘️ clover
☝️ index_pointing_up
☝️ hand
☝️ fingers
☝️ direction
☝️ up
☠️ skull_and_crossbones
☠️ poison
☠️ danger
☠️ deadly
☠️ scary
☠️ death
☠️ pirate
☠️ evil
☢️ radioactive
☢️ nuclear
☢️ danger
☣️ biohazard
☣️ danger
☦️ orthodox_cross
☦️ suppedaneum
☦️ religion
☪️ star_and_crescent
☪️ islam
☮️ peace_symbol
☮️ hippie
☯️ yin_yang
☯️ balance
☸️ wheel_of_dharma
☸️ hinduism
☸️ buddhism
☸️ sikhism
☸️ jainism
☹️ frowning_face
☹️ face
☹️ sad
☹️ upset
☹️ frown
☺️ smiling_face
☺️ face
☺️ blush
☺️ massage
☺️ happiness
♀️ female_sign
♀️ woman
♀️ women
♀️ lady
♀️ girl
♂️ male_sign
♂️ man
♂️ boy
♂️ men
♈ aries
♈ sign
♈ purple-square
♈ zodiac
♈ astrology
♉ taurus
♉ purple-square
♉ sign
♉ zodiac
♉ astrology
♊ gemini
♊ sign
♊ zodiac
♊ purple-square
♊ astrology
♋ cancer
♋ sign
♋ zodiac
♋ purple-square
♋ astrology
♌ leo
♌ sign
♌ purple-square
♌ zodiac
♌ astrology
♍ virgo
♍ sign
♍ zodiac
♍ purple-square
♍ astrology
♎ libra
♎ sign
♎ purple-square
♎ zodiac
♎ astrology
♏ scorpio
♏ sign
♏ zodiac
♏ purple-square
♏ astrology
♏ scorpio
♐ sagittarius
♐ sign
♐ zodiac
♐ purple-square
♐ astrology
♑ capricorn
♑ sign
♑ zodiac
♑ purple-square
♑ astrology
♒ aquarius
♒ sign
♒ purple-square
♒ zodiac
♒ astrology
♓ pisces
♓ purple-square
♓ sign
♓ zodiac
♓ astrology
♟️ chess_pawn
♟️ expendable
♠️ spade_suit
♠️ poker
♠️ cards
♠️ suits
♠️ magic
♣️ club_suit
♣️ poker
♣️ cards
♣️ magic
♣️ suits
♥️ heart_suit
♥️ poker
♥️ cards
♥️ magic
♥️ suits
♦️ diamond_suit
♦️ poker
♦️ cards
♦️ magic
♦️ suits
♨️ hot_springs
♨️ bath
♨️ warm
♨️ relax
♻️ recycling_symbol
♻️ arrow
♻️ environment
♻️ garbage
♻️ trash
♾️ infinity
♾️ forever
♿ wheelchair_symbol
♿ blue-square
♿ disabled
♿ accessibility
⚒️ hammer_and_pick
⚒️ tools
⚒️ build
⚒️ create
⚓ anchor
⚓ ship
⚓ ferry
⚓ sea
⚓ boat
⚔️ crossed_swords
⚔️ weapon
⚕️ medical_symbol
⚕️ health
⚕️ hospital
⚖️ balance_scale
⚖️ law
⚖️ fairness
⚖️ weight
⚗️ alembic
⚗️ distilling
⚗️ science
⚗️ experiment
⚗️ chemistry
⚙️ gear
⚙️ cog
⚛️ atom_symbol
⚛️ science
⚛️ physics
⚛️ chemistry
⚜️ fleur_de_lis
⚜️ decorative
⚜️ scout
⚠️ warning
⚠️ exclamation
⚠️ wip
⚠️ alert
⚠️ error
⚠️ problem
⚠️ issue
⚡ high_voltage
⚡ thunder
⚡ weather
⚡ lightning bolt
⚡ fast
⚧️ transgender symbol
⚧️ lgbtq
⚪ white_circle
⚪ shape
⚪ round
⚫ black_circle
⚫ shape
⚫ button
⚫ round
⚰️ coffin
⚰️ vampire
⚰️ dead
⚰️ die
⚰️ death
⚰️ rip
⚰️ graveyard
⚰️ cemetery
⚰️ casket
⚰️ funeral
⚰️ box
⚱️ funeral_urn
⚱️ dead
⚱️ die
⚱️ death
⚱️ rip
⚱️ ashes
⚽ soccer_ball
⚽ sports
⚽ football
⚾ baseball
⚾ sports
⚾ balls
⛄ snowman_without_snow
⛄ winter
⛄ season
⛄ cold
⛄ weather
⛄ christmas
⛄ xmas
⛄ frozen
⛄ without_snow
⛅ sun_behind_cloud
⛅ weather
⛅ nature
⛅ cloudy
⛅ morning
⛅ fall
⛅ spring
⛈️ cloud_with_lightning_and_rain
⛈️ weather
⛈️ lightning
⛎ ophiuchus
⛎ sign
⛎ purple-square
⛎ constellation
⛎ astrology
⛏️ pick
⛏️ tools
⛏️ dig
⛑️ rescue_worker_s_helmet
⛑️ construction
⛑️ build
⛓️ chains
⛓️ lock
⛓️ arrest
⛔ no_entry
⛔ limit
⛔ security
⛔ privacy
⛔ bad
⛔ denied
⛔ stop
⛔ circle
⛩️ shinto_shrine
⛩️ temple
⛩️ japan
⛩️ kyoto
⛪ church
⛪ building
⛪ religion
⛪ christ
⛰️ mountain
⛰️ photo
⛰️ nature
⛰️ environment
⛱️ umbrella_on_ground
⛱️ weather
⛱️ summer
⛲ fountain
⛲ photo
⛲ summer
⛲ water
⛲ fresh
⛳ flag_in_hole
⛳ sports
⛳ business
⛳ flag
⛳ hole
⛳ summer
⛴️ ferry
⛴️ boat
⛴️ ship
⛴️ yacht
⛵ sailboat
⛵ ship
⛵ summer
⛵ transportation
⛵ water
⛵ sailing
⛷️ skier
⛷️ sports
⛷️ winter
⛷️ snow
⛸️ ice_skate
⛸️ sports
⛹️ person_bouncing_ball
⛹️ sports
⛹️ human
⛹️‍♀️ woman_bouncing_ball
⛹️‍♀️ sports
⛹️‍♀️ human
⛹️‍♀️ woman
⛹️‍♀️ female
⛹️‍♂️ man_bouncing_ball
⛹️‍♂️ sport
⛺ tent
⛺ photo
⛺ camping
⛺ outdoors
⛽ fuel_pump
⛽ gas station
⛽ petroleum
✂️ scissors
✂️ stationery
✂️ cut
✅ check_mark_button
✅ green-square
✅ ok
✅ agree
✅ vote
✅ election
✅ answer
✅ tick
✈️ airplane
✈️ vehicle
✈️ transportation
✈️ flight
✈️ fly
✉️ envelope
✉️ letter
✉️ postal
✉️ inbox
✉️ communication
✊ raised_fist
✊ fingers
✊ hand
✊ grasp
✋ raised_hand
✋ fingers
✋ stop
✋ highfive
✋ palm
✋ ban
✌️ victory_hand
✌️ fingers
✌️ ohyeah
✌️ hand
✌️ peace
✌️ victory
✌️ two
✍️ writing_hand
✍️ lower_left_ballpoint_pen
✍️ stationery
✍️ write
✍️ compose
✏️ pencil
✏️ stationery
✏️ write
✏️ paper
✏️ writing
✏️ school
✏️ study
✒️ black_nib
✒️ pen
✒️ stationery
✒️ writing
✒️ write
✔️ check_mark
✔️ ok
✔️ nike
✔️ answer
✔️ yes
✔️ tick
✖️ multiplication_sign
✖️ math
✖️ calculation
✝️ latin_cross
✝️ christianity
✡️ star_of_david
✡️ judaism
✨ sparkles
✨ stars
✨ shine
✨ shiny
✨ cool
✨ awesome
✨ good
✨ magic
✳️ eight_spoked_asterisk
✳️ star
✳️ sparkle
✳️ green-square
✴️ eight_pointed_star
✴️ orange-square
✴️ shape
✴️ polygon
❄️ snowflake
❄️ winter
❄️ season
❄️ cold
❄️ weather
❄️ christmas
❄️ xmas
❇️ sparkle
❇️ stars
❇️ green-square
❇️ awesome
❇️ good
❇️ fireworks
❌ cross_mark
❌ no
❌ delete
❌ remove
❌ cancel
❌ red
❎ cross_mark_button
❎ x
❎ green-square
❎ no
❎ deny
❓ question_mark
❓ doubt
❓ confused
❔ white_question_mark
❔ doubts
❔ gray
❔ huh
❔ confused
❕ white_exclamation_mark
❕ surprise
❕ punctuation
❕ gray
❕ wow
❕ warning
❗ exclamation_mark
❗ heavy_exclamation_mark
❗ danger
❗ surprise
❗ punctuation
❗ wow
❗ warning
❣️ heart_exclamation
❣️ decoration
❣️ love
❤️ red_heart
❤️ love
❤️ like
❤️ valentines
➕ plus_sign
➕ math
➕ calculation
➕ addition
➕ more
➕ increase
➖ minus_sign
➖ math
➖ calculation
➖ subtract
➖ less
➗ division_sign
➗ divide
➗ math
➗ calculation
➡️ right_arrow
➡️ blue-square
➡️ next
➰ curly_loop
➰ scribble
➰ draw
➰ shape
➰ squiggle
➿ double_curly_loop
➿ tape
➿ cassette
⤴️ right_arrow_curving_up
⤴️ blue-square
⤴️ direction
⤴️ top
⤵️ right_arrow_curving_down
⤵️ blue-square
⤵️ direction
⤵️ bottom
⬅️ left_arrow
⬅️ blue-square
⬅️ previous
⬅️ back
⬆️ up_arrow
⬆️ blue-square
⬆️ continue
⬆️ top
⬆️ direction
⬇️ down_arrow
⬇️ blue-square
⬇️ direction
⬇️ bottom
⬛ black_large_square
⬛ shape
⬛ icon
⬛ button
⬜ white_large_square
⬜ shape
⬜ icon
⬜ stone
⬜ button
⭐ star
⭐ night
⭐ yellow
⭕ hollow_red_circle
⭕ circle
⭕ round
〰️ wavy_dash
〰️ draw
〰️ line
〰️ moustache
〰️ mustache
〰️ squiggle
〰️ scribble
〽️ part_alternation_mark
〽️ graph
〽️ presentation
〽️ stats
〽️ business
〽️ economics
〽️ bad
㊗️ japanese_congratulations_button
㊗️ chinese
㊗️ kanji
㊗️ japanese
㊗️ red-circle
㊙️ japanese_secret_button
㊙️ privacy
㊙️ chinese
㊙️ sshh
㊙️ kanji
㊙️ red-circle
🀄 mahjong_red_dragon
🀄 game
🀄 play
🀄 chinese
🀄 kanji
🃏 joker
🃏 poker
🃏 cards
🃏 game
🃏 play
🃏 magic
🅰️ a_button
🅰️ red-square
🅰️ alphabet
🅰️ letter
🅱️ b_button
🅱️ red-square
🅱️ alphabet
🅱️ letter
🅾️ o_button
🅾️ alphabet
🅾️ red-square
🅾️ letter
🅿️ p_button
🅿️ cars
🅿️ blue-square
🅿️ alphabet
🅿️ letter
🆎 ab_button
🆎 red-square
🆎 alphabet
🆑 cl_button
🆑 alphabet
🆑 words
🆑 red-square
🆒 cool_button
🆒 words
🆒 blue-square
🆓 free_button
🆓 blue-square
🆓 words
🆔 id_button
🆔 purple-square
🆔 words
🆕 new_button
🆕 blue-square
🆕 words
🆕 start
🆖 ng_button
🆖 blue-square
🆖 words
🆖 shape
🆖 icon
🆗 ok_button
🆗 good
🆗 agree
🆗 yes
🆗 blue-square
🆘 sos_button
🆘 help
🆘 red-square
🆘 words
🆘 emergency
🆘 911
🆙 up_button
🆙 blue-square
🆙 above
🆙 high
🆚 vs_button
🆚 words
🆚 orange-square
🇦🇨 flag_ascension_island
🇦🇩 flag_andorra
🇦🇩 ad
🇦🇩 flag
🇦🇩 nation
🇦🇩 country
🇦🇩 banner
🇦🇪 flag_united_arab_emirates
🇦🇪 united
🇦🇪 arab
🇦🇪 emirates
🇦🇪 flag
🇦🇪 nation
🇦🇪 country
🇦🇪 banner
🇦🇫 flag_afghanistan
🇦🇫 af
🇦🇫 flag
🇦🇫 nation
🇦🇫 country
🇦🇫 banner
🇦🇬 flag_antigua_barbuda
🇦🇬 antigua
🇦🇬 barbuda
🇦🇬 flag
🇦🇬 nation
🇦🇬 country
🇦🇬 banner
🇦🇮 flag_anguilla
🇦🇮 ai
🇦🇮 flag
🇦🇮 nation
🇦🇮 country
🇦🇮 banner
🇦🇱 flag_albania
🇦🇱 al
🇦🇱 flag
🇦🇱 nation
🇦🇱 country
🇦🇱 banner
🇦🇲 flag_armenia
🇦🇲 am
🇦🇲 flag
🇦🇲 nation
🇦🇲 country
🇦🇲 banner
🇦🇴 flag_angola
🇦🇴 ao
🇦🇴 flag
🇦🇴 nation
🇦🇴 country
🇦🇴 banner
🇦🇶 flag_antarctica
🇦🇶 aq
🇦🇶 flag
🇦🇶 nation
🇦🇶 country
🇦🇶 banner
🇦🇷 flag_argentina
🇦🇷 ar
🇦🇷 flag
🇦🇷 nation
🇦🇷 country
🇦🇷 banner
🇦🇸 flag_american_samoa
🇦🇸 american
🇦🇸 ws
🇦🇸 flag
🇦🇸 nation
🇦🇸 country
🇦🇸 banner
🇦🇹 flag_austria
🇦🇹 at
🇦🇹 flag
🇦🇹 nation
🇦🇹 country
🇦🇹 banner
🇦🇺 flag_australia
🇦🇺 au
🇦🇺 flag
🇦🇺 nation
🇦🇺 country
🇦🇺 banner
🇦🇼 flag_aruba
🇦🇼 aw
🇦🇼 flag
🇦🇼 nation
🇦🇼 country
🇦🇼 banner
🇦🇽 flag_aland_islands
🇦🇽 Åland
🇦🇽 islands
🇦🇽 flag
🇦🇽 nation
🇦🇽 country
🇦🇽 banner
🇦🇿 flag_azerbaijan
🇦🇿 az
🇦🇿 flag
🇦🇿 nation
🇦🇿 country
🇦🇿 banner
🇧🇦 flag_bosnia_herzegovina
